Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,,,Source URL
twitter,672057662511570000,2015-12-02T14:20:07Z,AtharvParab,RT @Fraudiesta: This is Dwayne De'Fondre. He was shot in the arm by Chicago Police Dept for looking 'suspicious'. #BlackLivesMatter https:/…,,,,,actual,http://pbs.twimg.com/media/CUtTEvLUEAAnFbJ.jpg,,,,,https://twitter.com/isamerose/status/672086613065863168
twitter,671870647006568000,2015-12-02T01:56:59Z,AtLeastWakeUp,"OMGs, these officials belong in the general prison population: https://t.co/IcF2YNFIN3 #Alabama #BlackLivesMatter #CorruptCops",,http://henrycountyreport.com/blog/2015/12/01/leaked-documents-reveal-dothan-police-department-planted-drugs-on-young-black-men-for-years-district-attorney-doug-valeska-complicit/,52,0,enrichment,,,,,,https://twitter.com/isamerose/status/672086589749751808
twitter,671967080753856000,2015-12-02T08:20:11Z,AUNetNews,The police murders of Africans in America is a human rights issue. #Africa #BlackLivesMatter @_AfricanUnion,,,,,actual,,,1,,,https://twitter.com/yomineInes/status/672086551556411392
twitter,671932797494276000,2015-12-02T06:03:57Z,aurfe,RT @TheWeekLive: #Chicago top cop fired amid rage over black teen's killing #LaquanMcDonald #BlackLivesMatter https://t.co/ax74OqOiuP https…,,http://bit.ly/1XwRiJL,19,73,enrichment,http://pbs.twimg.com/media/CVMZ0D0UwAAihXh.jpg,,,,,https://twitter.com/jennyane1564/status/672086284597198848
twitter,671884132570537000,2015-12-02T02:50:34Z,AuthorBlkCoffee,RT @kemba722: THE MEDIA LIES!!! DON'T TRUST THE MEDIA!!! They work for the billionaire BANKERS!!! #BlackLivesMatter #FUCKTheMedia!!!,,,,,actual,,,,,,https://twitter.com/Shgamha/status/672086170822696960
twitter,671883452820512000,2015-12-02T02:47:52Z,AuthorBlkCoffee,RT @kemba722: '16 SHOTS AND A COVERUP' #LaquanMcDonald #ResignRahm #ResignAlvarez #CHICoverup #BlackLivesMatter,,,,,actual,,,,,,https://twitter.com/unmundig/status/672086057685422080
twitter,671883367869100000,2015-12-02T02:47:32Z,AuthorBlkCoffee,#truth #policebrutality #BlackLivesMatter #Justice4BLACK2 #JusticeOrElse  https://t.co/yPUKsd4o73,https://twitter.com/kemba722/status/671881696279662593,https://twitter.com/kemba722/status/671881696279662593,,,actual,,,,,,https://twitter.com/afrokai/status/672085876621594626
twitter,671945931491819000,2015-12-02T06:56:08Z,AviWoolf,RT @dignitasnews: Young black males switching to #GOP : https://t.co/8D9QOVHSHg  #blacklivesmatter #PJNET #Trump2016 #Carson #Rubio #CMXD #…,,http://ow.ly/yzKgd,,,actual,,,,,,https://twitter.com/NewNatTurner/status/672085829494403072
twitter,672025991007576000,2015-12-02T12:14:16Z,awafat,RT @CraigCons: My FB post on how Black Americans are automatically criminalized & guilty. And White Americans? #BlackLivesMatter https://t.…,,,,,actual,http://pbs.twimg.com/media/CVOBJQjUwAAA_ce.png,,,,,https://twitter.com/jbardhan/status/672085442309824513
twitter,671936063519236000,2015-12-02T06:16:56Z,awitemandown,"Comments, #BlackLivesMatter ? https://t.co/GwLfnDZY2I",https://twitter.com/Breaking911/status/671901011196284928,https://twitter.com/Breaking911/status/671901011196284928,,,actual,,,,,,https://twitter.com/paisleybhoy88/status/672083960105672704
twitter,672057722196619000,2015-12-02T14:20:21Z,Ayyhoney__,RT @BlkHistStudies: Rio de Janeiro police arrested for killings of Black + mixed-race youths https://t.co/uGGqGeAUzU #BlackLivesMatter http…,,http://gu.com/p/4eyct/stw,52,0,enrichment,http://pbs.twimg.com/media/CVOb3l-WIAAVHxz.jpg,,1,,,https://twitter.com/desireGimx/status/672083792669089792
twitter,672035304392556000,2015-12-02T12:51:17Z,babaklm2,RT @PressTV: Chicago police chief fired over black teen’s death https://t.co/TykTsSObVq #BlackLivesMatter https://t.co/uEogpdG62y,,http://ptv.io/22Cq,,,actual,http://pbs.twimg.com/media/CVNqA8YXIAEkHJP.jpg,,,,,https://twitter.com/Znb_z/status/672083398475681793
twitter,672037432708198000,2015-12-02T12:59:44Z,babakml,RT @PressTV: Chicago police chief fired over black teen’s death https://t.co/TykTsSObVq #BlackLivesMatter https://t.co/uEogpdG62y,,http://ptv.io/22Cq,,,actual,http://pbs.twimg.com/media/CVNqA8YXIAEkHJP.jpg,,,,,https://twitter.com/MadH0tter/status/672083080857956352
twitter,672034911239479000,2015-12-02T12:49:43Z,babakml,RT @PressTV: Chicago police chief fired over black teen’s death https://t.co/TykTsSObVq #BlackLivesMatter https://t.co/uEogpdG62y,,http://ptv.io/22Cq,,,actual,http://pbs.twimg.com/media/CVNqA8YXIAEkHJP.jpg,,,,,https://twitter.com/TaShanTwyman/status/672082910594400260
twitter,672058038593986000,2015-12-02T14:21:37Z,Baebyfat,"RT @Deja_Speaks: I want us to believe that #BlackLivesMatter even when they're guilty, even when they're armed, even with a record/criminal…",,,51,10,enrichment,,,1,,,https://twitter.com/Itsonly1_DAME/status/672082371403980804
twitter,672016015321075000,2015-12-02T11:34:38Z,BagOfFeels,#BlackLivesMatter https://t.co/FYVGZduWb0,,,,,actual,http://pbs.twimg.com/media/CVN6_O_WwAA7EQ2.jpg,,,,,https://twitter.com/ItsYoBoyBadAss/status/672081658510577664
twitter,671912000600043000,2015-12-02T04:41:19Z,Baloo1987,RT @ForeignPolicy: .@Nettaaaaaaaa and @deray are mainstreaming #BlackLivesMatter. #globalthinkers https://t.co/Jd4Itf35US https://t.co/96yk…,,http://atfp.co/1XEh0H8,53,13,enrichment,http://pbs.twimg.com/media/CVJ4Q9GWsAA8s9i.jpg,,,,,https://twitter.com/Veroan_RS/status/672080903036866560
twitter,672100125154664000,2015-12-02T17:08:51Z,BashyII,RT @MillzIsGod: The #BlackLivesMatter hashtag lost meaning when I saw a dude in America use it after saying he's out here tryna get his dic…,,,,,actual,,,,,,https://twitter.com/bubzTheSensei/status/672079905824374784
twitter,672059608089915000,2015-12-02T14:27:51Z,BathSUPresident,Mention about #BlackLivesMatter campaign... huge shout out to @MMU_President who engaged a group of U.S student leaders in campaign support!,,,,,actual,,1,,,,https://twitter.com/TJamesWriter/status/672079746281439232
twitter,671886985942859000,2015-12-02T03:01:55Z,bayareavenus,Visual rant of the day #BlackLivesMatter https://t.co/YXBQFDKkpx,,,,,actual,http://pbs.twimg.com/media/CVMFpuxUkAA_48I.jpg (web site: 0.7368479371070862),,,,,https://twitter.com/calyxworld/status/672079078422376450
twitter,672044522617102000,2015-12-02T13:27:54Z,beArianai,RT @NYDailyNews: ‘Dancing Cop’ disinvited from second R.I. city over #blacklivesmatter flak https://t.co/gCrkyzqwV9 https://t.co/CNradgRxno,,http://nydn.us/1N3w8ZI,,,actual,http://pbs.twimg.com/media/CVOUbi3WEAEo1rz.jpg,,,,,https://twitter.com/kairosza/status/672078757491032066
twitter,671897431894806000,2015-12-02T03:43:25Z,beArianai,"RT @NYDailyNews: ""Dancing Cop"" uninvited from second R.I. city over his #BlackLivesMatter protest. https://t.co/Y1NiMJmNMd https://t.co/vXT…",,http://nydn.us/1lugDm6,,,actual,http://pbs.twimg.com/media/CVMGce6WcAEL_f5.jpg,,,,,https://twitter.com/waitingformamu/status/672078340774338561
twitter,671878917016461000,2015-12-02T02:29:51Z,BenamileZwane,RT @JoyAnnReid: My latest for @thedailybeast: The Laquan McDonald Case Shows That #BlackLivesMatter Is Right to Target Dems https://t.co/Ax…,,http://thebea.st/1Thk3nd,,,actual,,,,,,https://twitter.com/mikelbtko/status/672078192346181632
twitter,672072939349663000,2015-12-02T15:20:49Z,biggles14,RT @deAdder: I drew this ten years ago. A tribute to #RosaParks #BlackLivesMatter #cdnpoli https://t.co/RWJ5fAqGqB,,,44,-79,enrichment,http://pbs.twimg.com/media/CVOstz4UYAACCrK.jpg,,,,,https://twitter.com/TJamesWriter/status/672078094036033536
twitter,672025722232446000,2015-12-02T12:13:12Z,BilalOurida,"RT @HenryPoyraz: ""Hillary Clinton will do more for black people than Obama"" HMM WHY THE FUCK U LYINN  #NewRepublic #BlackLivesMatter https:…",,,,,actual,http://pbs.twimg.com/media/CU7KFmhXIAAr2gJ.jpg,,,,,https://twitter.com/sumwin10/status/672077213857026048
twitter,671951668112527000,2015-12-02T07:18:56Z,BlackGroupThink,"RT @_AfroHippie: #ConcernedStudent1950 
#PotsdamItsEnough
#BlackLivesMatter 
#WeNeedAction",,,,,actual,,,,,,https://twitter.com/DinoFancellu/status/672076988304236544
